"English sentence","Swahili Translation"
"[He climbs the wall and leaps down within it.]","[Yeye climbs ukuta na kiwango kikubwa chini ndani yake.]"
"And it really seemed as if it must be true.","Na ni kweli inaonekana kama ni lazima kuwa kweli."
"""You reasoned it out beautifully,"" I exclaimed in unfeigned admiration.","""Wewe kujadiliana ni nje uzuri,"" Mimi akasema katika Pongezi ya kweli."
"'Not like cats!' cried the Mouse, in a shrill, passionate voice.","'Siyo kama paka!' Kelele Mouse, kwa sauti kwaruza, passionate."
"At the other side door, however, his sister knocked lightly.","""Katika mlango upande mwingine, hata hivyo, dada yake knocked lightly."
"For I ne'er saw true beauty till this night.","Kwa maana Mimi ne'er aliona uzuri wa kweli mpaka usiku huu."
"It was not merely that Holmes changed his costume.","Siyo tu kwamba Holmes iliyopita Costume yake."
"But this could also be written as four three times.","Lakini hii pia ingeweza kuandikwa kama nne mara tatu"
"Just a trifle more, I fancy, Watson.","Dagaa tu zaidi, mimi dhana tu, Watson."
"Beautiful.","Nzuri."
"That was it!","Kwamba alikuwa ni!"
"But tha' will like it.""","Lakini tha 'itakuwa kama hiyo. """
"NURSE Even so lies she,","Muuguzi Hata hivyo uongo yeye,"
"""But what devilry must happen to make a man invisible?"" ""It's no devilry.","""Lakini nini ushetani lazima kutokea kwa kufanya mtu asiyeonekana ""?"" Siyo ushetani."
"I was asking myself persistently while I drove on with my writing.","Mimi kuuliza mwenyewe vinavyoendelea wakati mimi alimfukuza juu na kuandika yangu."
"And a second idea I got was to use a scarecrow.","Na wazo la pili nililopata lilikuwa kutumiia mtu wa bandia."
"[Kissing her.]","[Kissing yake.]"
"We taught our people about advocacy, human rights, and many other things our community has never done.","Tuliwafunisha watu wetu kuhusu utetezi, haki za watu, na mambo mengine mengi ambayo jumuiya yetu haikupata kufanya hapo kabla."
"Lodge, and a gentleman sprang out.","Lodge, na muungwana ilipoota nje."
"""If today were the last day of my life, would I want to do what I am about to do today?""","""Ikiwa leo ni siku ya mwisho maishani mwangu, ningefanya kama nimeshapanga nifanye leo hii?"""
"JULlET I have.","Juliet mimi."
"He went on upstairs, and then it suddenly occurred to him to ask himself what the spot on the linoleum might be. Apparently some subconscious element was at work.","Inavyoonekana baadhi ya kipengele subconscious alikuwa katika kazi."
"There'll be an inspection today.","Kuna utakuwa ukaguzi leo."
"""I never did in my life.","""Mimi kamwe alifanya katika maisha yangu."
"""Why does tha' care so much about roses an' such, all of a sudden?"" he demanded.","""Kwa nini 'huduma sana kuhusu roses' tha vile, ghafla?"" Alidai."
"I've done anthropology on the main statistical units.","Nimefanya anthopolojia katika sehemu kubwa za takwimu. Kila mtu anasema,"
"Here in my house do him disparagement: Therefore be patient, take no note of him,--","Hapa katika nyumba yangu kufanya naye dhila: hiyo kuwa na subira, msiwe na kumbuka yake, -"
"Looking at the statistics for the last 2-3, it seems that Tristan is right.","Kuangalia takwimu kwa ajili ya 2-3 ya mwisho, inaonekana kwamba, Tristan ni haki."
"My true-love passion: therefore pardon me; And not impute this yielding to light love,","-Kweli upendo wangu shauku: kwa hiyo samahani; Na hii si impute kujitoa kwa upendo mwanga,"
"[Enter Lady Capulet and Nurse.]","[Enter Lady Capulet na muuguzi.]"
"""You showed me where the key was yesterday,"" she said.","""Wewe alinionyeshea ambapo muhimu jana,"" alisema."
"But Bogota's example has the power to change that.","Lakini mfano wa Bogota una nguvu ya kubadili hili."
"- Okay, Zidane!","- Sawa, Zidane!"
"Kemp stared at the bandage as it moved across the room, then saw a basket chair dragged across the floor and come to rest near the bed.","Kemp stared at bandage kama wakiongozwa katika chumba, basi nikaona kiti kikapu dragged katika sakafu na kuja kupumzika karibu na kitanda."
"The groups that lack economic or political power are the ones that would most often be susceptible to forced eviction.","Yale makundi yasiyo na nguvu ya kiuchumi au kisiasa ndiyo ambao mara nyingi huumia katika kuhamishwa mahali kwa nguvu."
"Be careful.","Kuwa makini."
"Queequeg, wake!""","Queequeg, wake! """
"no its just one light we haven't add anything","hapana bado ni taa tu hatuja sambaza bado"
"My first stroke of luck!","Kiharusi yangu ya kwanza ya bahati!"
"Our mariner was in the mood to believe anything, he declared, but that was a bit too stiff.","Mariner yetu ilikuwa katika hali ya kuamini chochote, alitangaza, lakini huu ni kidogo ngumu sana."
"""And holding that handkerchief over his mouth all the time.","""Na kushikilia kwamba leso juu ya kinywa chake wakati wote."
"I'll stay down here till I'm somebody else""--but, oh dear!' cried Alice, with a sudden burst of tears, 'I do wish they WOULD put their heads down!","Mimi itabidi kukaa chini hapa hata mimi nina mtu mwingine ""-! Lakini, oh dear 'kelele Alice, na ghafla kupasuka ya machozi, 'Mimi unataka wangeweza kuweka vichwa vyao chini!"
"Recognize the early signs of violence and conscientiously intervene, deescalate it, show victims a safe way out.","Eleweni ishara za mapema za tuhuma na muingilie kati kistadi malizeni na muonyeshe waathirika njia safi ya kuiepuka."
"Then close the door!","Kisha funga mlango!"
"Oh, dad!","Oh, baba!"
"JULlET It is an honour that I dream not of.","Juliet Ni heshima ya kuwa mimi si ndoto ya."
"Rather than I should marry another woman, there are no lengths to which she would not go--none."" ""You are sure that she has not sent it yet?""","Badala ya mimi lazima kuoa mwanamke mwingine, hakuna marefu ambayo angeweza kwenda -. hakuna "" Wewe ni kuhakikisha kwamba yeye hana Wajumbe bado ""?"
"'Treacle,' said the Dormouse, without considering at all this time.","'Treacle,' alisema Dormouse, bila ya kuzingatia wakati huu wote."
"'Well, it's got no business there, at any rate: go and take it away!'","'Naam, ni got hakuna biashara huko, kwa kiwango chochote: kwenda na kuchukua ni mbali!'"
"As for pulling me out of the window, I only wish they COULD!","Kama kwa ajili ya kuunganisha yangu nje ya dirisha, mimi tu wanatamani HAWAKUWEZA!"
"If any of my kinsmen find thee here.","Kama yoyote ya jamaa zangu kupata kwako hapa."
"""You are certain that is the earliest?"" he said.","""Wewe ni hakika kuwa ni mwanzo?"" Alisema."
"'It struck me that it is from such as he that the great army of waifs and strays is recruited, the army that marches down, down into all the gutters of the earth.","'Ni akampiga mimi kuwa ni kutoka kama vile yeye kwamba jeshi kubwa ya waifs na strays ni kuajiri, jeshi kwamba maandamano chini, chini katika mabirika wote wa dunia."
"'Perhaps it hasn't one,' Alice ventured to remark.","'Labda bado moja,' Alice ventured kwa remark."
"All cultures through all time have constantly been engaged in a dance with new possibilities of life.","Tamaduni zote wakati wote zimejihusisha na mchezo wa masuala mapya ya kimaisha."
"And finally, in the end, I think it's pretty obvious at least to all of all us who've traveled in these remote reaches of the planet, to realize that they're not remote at all.","Na mwisho, hatimaye, naona ni wazi kabisa walau wengi wetu tulosafiri kwenye sehemu hizi za mbali kwenye dunia, tumegundua si mbali tena."
"What say'st thou? hast thou not a word of joy?","Say'st nini wewe? wewe si neno la furaha?"
"Just as he was goin' away our 'Lizabeth Ellen called out, 'Mother, he's got skippin'-ropes with red an' blue handles.'","Kama vile yeye alikuwa goin 'mbali wetu Lizabeth Ellen akapaaza sauti,' Mama, hana kazi skippin'-kamba na nyekundu 'bluu Hushughulikia.'"
"If thou art dun, we'll draw thee from the mire","Kama wewe ni Dun, tutaweza kuteka kwako kutoka kwa matope"
"Gregor had pushed his head forward just to the edge of the couch and was observing her.","Gregor alikuwa alisukuma kichwa chake mbele tu makali ya kitanda na kuangalia yake."
"""And may I ask--"" ""You'll be astonished,"" said Mr. Marvel behind his hand.","""Na naomba kuuliza -"" ""Wewe utakuwa walishangaa, wakasema,"" alisema Bw Usistaajabu nyuma ya mkono wake."
"""What a bally ass I've been,"" he said very slow in an awed tone....""You are a brick!"" he cried next in a muffled voice.","""Ni nini punda Hindi Nimekuwa,"" alisema kwa sauti ya taratibu sana awed ...."" Wewe ni matofali! "" akalia kwa sauti muffled ijayo."
"It seems she hangs upon the cheek of night Like a rich jewel in an Ethiop's ear;","Inaonekana yeye hangs juu ya shavu la usiku Kama Jewel tajiri katika sikio Ethiop ya;"
"So I'm at lunch with this really good friend of mine, and we are having a fantastic time.","Ninakula chakula cha mchana na rafiki yangu wa dhati mno, na tunapitisha wakati mzuri sana."
"Well, I took two and I added it to itself three times.","Naam, nilichukua nambari mbili nikaiongezea nambari mbili zingine mara mbili"
"I must wire to the King without delay.""","Mimi lazima waya kwa Mfalme bila kuchelewa."
"Gregor in small hotel rooms had always thought about with a certain longing, when, tired out, he had had to throw himself into the damp bedclothes.","Gregor katika vyumba vya hoteli ndogo mara zote kwa hamu mawazo kuhusu fulani, wakati, nimechoka nje, alikuwa na kutupa mwenyewe ndani ya nguo za kitanda nyevunyevu."
"With halting steps I paced the streets, and passed the sign of ""The Crossed Harpoons""-- but it looked too expensive and jolly there.","Na hatua ya kuvunja mimi paced mitaani, na kupita ishara ya ""Harpoons walivuka"" - lakini ilikuwa inaonekana gharama kubwa mno na chekeshaji huko."
"O heavy day!","O nzito siku!"
"It was a minute or more before they entered the kitchen. The place was empty.","Ilikuwa ni dakika moja au zaidi kabla ya kuingia jikoni. mahali ilikuwa tupu."
"Who is already sick and pale with grief, That thou her maid art far more fair than she:","Ambao tayari ni wagonjwa na pale na huzuni, ili nawe yake msichana sanaa mbali zaidi haki kuliko yeye:"
"I even took my friends back to my community, and we're installing the lights to the homes which don't have [any], and I'm teaching them how to put them.","Nilishawahi chukua marafiki zangu shuleni kwenda nao katika jamii yangu, na tunaweka taa majumba yasiokuwa nazo,nawafundisha jinsi ya kuziweka."
"""Wait till the summer,"" said Mrs. Hall sagely, ""when the artisks are beginning to come.","""Subiri mpaka majira ya joto,"" alisema Bi Hall sagely, ""wakati artisks ni mwanzo kuja."
"--COLNETT'S VOYAGE FOR THE PURPOSE OF EXTENDlNG THE SPERMACETI WHALE FlSHERY.","- COLNETT 'S safari kwa ajili ya kupanua nyangumi SPERMACETI uvuvi."
"It isn't anybody's.","Si ya mtu yeyote."
"Come on!","Njoo!"
"""And what then?""","""Na nini basi?"""
"This event happened previous to the expulsion of the tyrant Christiern the","Haya yalifanyika kabla ya kufukuzwa kwa Christiern jeuri"
"Not a moment ago.","Si wakati iliyopita."
"'Thinking again?' the Duchess asked, with another dig of her sharp little chin.","'Kufikiri tena?' Duchess aliuliza, na kuchimba mwingine wa kidevu wake mkali kidogo."
"Think bike shops, juice stands.","Fikiria maduka ya baiskeli, viduka vya juisi."
"So one of them has to be positive, one of them has to be negative.","Kwa hiyo moja lazima iwe positive na nyingine lazima iwe negative."
"Who is it that consorts, so late, the dead?","Ni nani consorts, ili marehemu, wafu?"
"Gregor tried to imagine to himself whether anything similar to what was happening to him today could have also happened at some point to the manager.","Gregor alijaribu kufikiria mwenyewe kama kitu chochote sawa na kile kinachotokea kwa naye leo inaweza kuwa pia kilichotokea wakati fulani na meneja."
"'If it had grown up,' she said to herself, 'it would have made a dreadfully ugly child: but it makes rather a handsome pig, I think.'","'Kama ni mtu mzima, ""alisema kwa mwenyewe, ingeli kuwa alifanya dreadfully ugly mtoto, lakini badala ya nguruwe inafanya handsome, nadhani '."
"And this is Latin America. It has everything on this Earth, from the poorest to the richest in Latin America.","Ni kila kitu katika dunia hii, kuanzia maskini zaidi mpaka matajiri, huko Amerika Kusini."
"He knows a lot. He's a Nobel prize winner so he knows so much and he's answered so many of our questions.","Ni mshindi wa tuzo ya Nobel hivyo anajua mambo mengi na amejibu maswali yetu mengi."
"I'll be careful.","Mimi itakuwa makini."
"He had a wide, red, curving mouth and his smile spread all over his face.","Alikuwa na upana, nyekundu, curving kinywa na tabasamu yake kuenea yote juu ya uso wake."
"And fall upon the ground, as I do now, Taking the measure of an unmade grave.","Na kuanguka juu ya nchi, kama mimi sasa, kuchukua hatua za kaburi unmade."
"My back o' t' other side,--O, my back, my back!--","Nyuma yangu o 't' upande mwingine, - O, nyuma yangu, nyuma yangu! -"
"We will be back next week at 1:03 pm Wednesday and Sunday 4:03 pm","Tutakuwa nyuma wiki ijayo saa 13:03 Jumatano na Jumapili 16:03"
"'Behead that Dormouse!","'Behead kwamba Dormouse!"
"So you have to trust that the dots will somehow connect in your future.","Lazima uamini nukta za baadaye zitaunganika katika maisha yako ya baadaye."
"""Coach and Horses"" violently firing out its humanity.","""Kocha na Farasi"" ukali kurusha nje ya ubinadamu wake."
"Poor little thin, sallow, ugly Mary--she actually looked almost pretty for a moment.","Maskini kidogo hafifu, sallow, Maria ugly - yeye kweli inaonekana karibu pretty kwa muda."
"By having him, making yourself no less.","Kwa kuwa na yeye, na kufanya mwenyewe si chini."
"MERCUTlO Without his roe, like a dried herring.--O flesh, flesh, how art thou fishified!--Now is he for the numbers that Petrarch flowed in:","Bila MERCUTIO paa wake, kama sill kavu .-- O mwili, mwili, jinsi ya sanaa wewe fishified - Sasa ni yeye kwa namba ambazo zimetolewa Petrarch:"
"Holmes.","Holmes."
"NURSE O lamentable day!","Muuguzi O lamentable siku!"
"I'll be something different like a Doctor or a Lawyer.","Mimi itakuwa kitu tofauti kama Daktari au Mwanasheria."
"[Juliet wakes and stirs.]","[Juliet vilio na husisimka.]"
"Mem Sahib she must keep the child out of sight as much as possible.","Mem Sahib yeye lazima kuweka mtoto nje ya mbele kama iwezekanavyo."
"We hear each other.","Tunaweza kusikilizana."
"'I wonder how many miles I've fallen by this time?' she said aloud.","'I ajabu jinsi maili nyingi nimekuwa kuanguka kwa wakati huu? alisema kwa sauti."
"They heard him go headlong across the passage and up the uncarpeted stairs to his bedroom.","Waliposikia aende ingia katika kifungu na ghorofani uncarpeted kwa wake chumba cha kulala."
"She moved away from the door, stepping as softly as if she were afraid of awakening some one.","Yeye kusukumwa mbali na mlango, wanazidi kama softly kama kama alikuwa na hofu ya kuamka baadhi ya moja."
"We trust the important charge, the petticoat.","Tunaamini malipo muhimu, petticoat."
"Is thy news good or bad? answer to that; Say either, and I'll stay the circumstance:","Habari yako ni mazuri au mabaya? jibu la kwamba, Sema aidha, na mimi itabidi kukaa hali:"
"Honey~!","Honey ~!"
"The Dormouse again took a minute or two to think about it, and then said, 'It was a treacle-well.'","Dormouse tena alichukua dakika moja au mbili kwa kufikiri juu yake, na kisha alisema, 'Ni treacle-vizuri."
"My house never pleased my eye so much after it was plastered, though I was obliged to confess that it was more comfortable.","Nyumba yangu macho yangu kamwe radhi sana baada ya kupakwa chokaa, mimi, ingawa alilazimika kukiri kuwa ni vizuri zaidi."
"Funny.","Mapenzi."
"Jaffers was struck under the jaw, and, turning, caught at something that intervened between him and Huxter in the melee, and prevented their coming together.","Jaffers alipigwa chini ya taya, na akageuka, hawakupata katika kitu ambacho aliingilia kati yake na Huxter katika melee, na kuzuiwa wao kuja pamoja."
"Woe to him who seeks to please rather than to appal!","Ole naye atafutaye tafadhali badala ya kwa anawakhofisha!"
"A brougham stood on the road before the little outside platform.","""Brougham alisimama juu ya barabara kabla ya nje kidogo ya jukwaa."
"You're mad.' 'How do you know I'm mad?' said Alice.","Wewe ni mwendawazimu. "" Unajuaje mimi nina wazimu?"
"""An' this isn't my day out.","""Hii ni siku yangu si nje."
"PREFACE TO GONDlBERT.","DIBAJI YA GONDIBERT."
"'There's no such thing!'","'Hakuna kitu kama hicho!"
"I nurs'd her daughter that you talk'd withal; I tell you, he that can lay hold of her","Mimi nurs'd binti yake kwamba talk'd ya wote; nawaambieni, yeye anaweza kutetea yake"
"That's why I took care of Sangmin's father like my own son.","Hiyo ni kwa nini mimi alichukua huduma ya baba Sangmin ya kama mtoto wangu mwenyewe."
"Didn't you get the message?","Je si wewe kupata ujumbe?"
"Turn around.","Geuka kote."
"""The paper was made in Bohemia,"" I said. ""Precisely.","""Karatasi iliwekwa katika Bohemia,"" Mimi alisema."
"ok thank you very much my sister ok your welcome","haya akhsante sana dada yangu haya karibuni sana jamani"
"YOU do it!","YOU kufanya hivyo!"
"Both were largely populated by poor people of color, both hotbeds of cultural innovation: think hip-hop and jazz.","Yote ilikuwa na watu wengi wa jamii moja maskini, zote ni hotbeds za utamaduni ulioundwa: fikiria hip-hop na jazz."
"Why is almost every robust healthy boy with a robust healthy soul in him, at some time or other crazy to go to sea?","Kwa nini ni imara na afya karibu kila mvulana na roho robust afya katika yeye, wakati baadhi ya au mambo mengine kwenda baharini?"
"FRlAR Welcome then.","Karibu FRIAR basi."
"It had something to do with cattle and cartridges and a Prince Ravonalo something; but the pivot of the whole affair was the stupidity of some admiral--Admiral Pierre,","Ni kitu cha kufanya na ng'ombe na cartridges na Prince Ravonalo kitu; lakini pivot wa mambo yote ni ujinga wa baadhi admirali - Admiral Pierre,"
"I wonder what I should be like then?'","Nashangaa kile lazima kama basi? '"
"But there was no time for shuddering, for now the savage went about something that completely fascinated my attention, and convinced me that he must indeed be a heathen.","Lakini hapakuwa na muda kwa ajili ya shuddering, kwa sasa savage akaenda juu ya kitu ambacho kabisa fascinated usikivu wangu, na hakika mimi kwamba ni lazima kweli kuwa mataifa."
"- Good night!","- Good usiku!"
"I feared it might injure the brain;","Naliogopa inaweza kuumiza ubongo;"
"""Aye,"" said Martha with a cheerful grin.","""Aye,"" alisema Martha na grin furaha."
"2 SERVANT You shall have none ill, sir; for I'll try if they can","2 mtumishi Usiwe na hakuna mgonjwa, Bwana, kwa kuwa mimi itabidi kujaribu kama wanaweza"
"I'm not gonna do it Dad, If you want to pull the gun and shoot me right here.","Mimi si gonna kufanya hivyo baba, Kama unataka kuvuta bunduki na risasi yangu hapa hapa."
"'That's nothing to what I could say if I chose,' the Duchess replied, in a pleased tone.","'Hiyo ni kitu ambacho ninaweza kusema kama mimi alichagua,' Duchess akajibu, katika radhi tone."
"'I've seen a good many little girls in my time, but never ONE with such a neck as that!","'Nimekuwa kuonekana nzuri wasichana wengi kidogo katika muda wangu, lakini kamwe ONE kwa shingo kama vile hilo!"
"""I came up behind you--hesitated--went on-- ""","""Mimi, akaja nyuma ya wewe - hesitated - aliendelea -"""
"CAPULET Death, that hath ta'en her hence to make me wail,","CAPULET Kifo, aliye na ta'en yake hivyo kufanya mimi kuomboleza,"
"""I wish you'd keep your fingers out of my eye,"" said the aerial voice, in a tone of savage expostulation.","""Napenda kuweka vidole d nje ya macho yangu,"" alisema sauti za anga, kwa sauti ya savage expostulation."
"Methinks that what they call my shadow here on earth is my true substance.","Methinks kuwa hayo wito kivuli yangu hapa duniani ni mali yangu ya kweli."
"SAMPSON No, sir, I do not bite my thumb at you, sir; but I bite my thumb, sir.","Sampson No, Mheshimiwa, mimi si bite thumb wangu wewe, Bwana, lakini mimi bite yangu thumb, Mheshimiwa."
"Mr. Marvel mended his pace, and for a time they went in silence again.","Mheshimiwa Usistaajabu shonwa kasi yake, na kwa muda walikwenda tena kimya kimya."
"So while appealing to authority can sometimes provide us with valuable knowledge, it also can sometimes be the cause of monumental errors.","Kwa hiyo kuona mamlaka muda mwingine inatupa maarifa muhimu, pia inaweza sababisha matatizo makubwa"
"For I will raise her statue in pure gold;","Kwa nami nitalijenga sanamu yake katika dhahabu safi;"
"Really tasty.","Kweli kitamu."
"Now you know.'","Sasa unajua. '"
"Well, that's zero!","Basi..jibu ni sufuri"
"""Let's have the facts first,"" insisted Mr. Sandy Wadgers.","""Hebu na ukweli kwanza,"" alisisitiza Bw Sandy Wadgers."
"-CHAPTER Xill MR. MARVEL DlSCUSSES HlS RESlGNATlON","-SURA XIII MR. Ajabu kujadili kujiuzulu kwake"
"'It was much pleasanter at home,' thought poor Alice, 'when one wasn't always growing larger and smaller, and being ordered about by mice and rabbits.","'Ni za pleasanter nyumbani,' walidhani maskini Alice, 'wakati moja siyo kila mara kuongezeka kubwa na ndogo, na kuwa amri kuhusu kwa panya na sungura."
"At first he slid down a few times on the smooth chest of drawers.","Mara ya kwanza yeye slid chini mara chache juu ya kifua laini ya drawers."
"Hath slain ten thousand Tybalts.","Tybalts amewaua elfu kumi."
"""I been talking here this ten minutes,"" he said; ""and you, you little pot-bellied, leathery-faced son of an old boot, couldn't have the elementary manners--""","""Mimi nimekuwa kuzungumza hapa dakika hii kumi,"" alisema, ""na wewe, wewe kidogo sufuria-bellied, ngozi-wanakabiliwa mwana wa Boot zamani, hakuweza kuwa tabia ya msingi - """
"They rushed out, and as they did so the kitchen door slammed.","Wao alikimbia nje, na kama walifanya hivyo jikoni mlango slammed."
"Simultaneously came a tumult from the parlour, and a sound of windows being closed.","Wakati huo huo alikuja makelele kutoka chumba, na sauti ya madirisha ya imefungwa."
"When?"" ""Yesterday.""","Wakati ""?"" Jana. """
"I have come incognito from Prague for the purpose of consulting you.""","Nimekuja fiche kutoka Prague kwa madhumuni ya kushauriana na wewe. """
"I need to be clear about one thing.","Mimi haja ya kuwa wazi juu ya jambo moja."
"Don't make things more difficult for me than they already are.","Je, si kufanya mambo magumu zaidi kwangu kuliko wao tayari ni."
"He took no notice of her and so at last she spoke to him.","Alichukua hakuna taarifa ya wake na hivyo katika mwisho yeye alizungumza naye."
"It seemed to be ""wutherin'"" louder than ever.","Ilionekana kuwa ""wutherin '"" nguvu zaidi kuliko milele."
"And then--"" ""Well?""","Na kisha - "" Sawa? """
"If we take Mozilla's focus on openness and flexibility seriously we have to do things differently, Tristan thinks.","Kama sisi kuchukua lengo Mozilla juu ya uwazi na kubadilika kwa umakini sisi kufanya mambo tofauti, Tristan anadhani."
"--Peter!","- Peter!"
"He once found a little fox cub half drowned in its hole and he brought it home in th' bosom of his shirt to keep it warm.","Yeye mara moja kupatikana kidogo mbweha cub nusu kuzamishwa kwenye shimo yake na yeye kuletwa ni nyumbani katika th ' kifua cha kanzu yake kuitunza joto."
"BENVOLlO Tybalt, here slain, whom Romeo's hand did slay;","BENVOLIO Tybalt, hapa waliouawa, ambaye alifanya mkono Romeo ya kuua;"
"""Very useful things indeed they are, sir,"" said Mrs. Hall.","""Mambo muhimu sana kwa kweli ni, sir,"" alisema Bi Hall."
"Its large eyes appeared young and unhealthy, almost dropsical.","Macho yake makubwa alionekana vijana na mbaya, karibu dropsical."
"Of course it's a logarithmic scale here, but our concept of economy is growth with percent.","Naam, hiki ni kipimo cha logarithm, lakini dhana yetu ya uchumi ni kukua kwa asilimia."
"We can't go anywhere.","Hatuwezi kwenda kila mahali."
"Women are naturally secretive, and they like to do their own secreting.","Wanawake kwa asili ni siri, na wao kama kwa kufanya secreting yao wenyewe."
"Look at him running off!","Kamtafute mbio mbali!"
"The Dormouse had closed its eyes by this time, and was going off into a doze; but, on being pinched by the Hatter, it woke up again with a little shriek, and went on: '-","Dormouse alikuwa amefunga macho yake kwa wakati huu, na kwenda mbali katika doze, lakini, juu ya kuwa finyana na Sungura, ni woke up tena kwa ukwenzi kidogo, na akaendelea: -"
"In Sierra Leone, humanitarian aid.","Huko Siera Leone, misaada ya kibinadamu."
"It is frequently covered up by drifts, and, it is said, ""sometimes plunges from on wing into the soft snow, where it remains concealed for a day or two.""","Ni mara nyingi inafunikwa na drifts, na, ni kusema, ""wakati mwingine plunges kutoka katika bawa ndani ya theluji laini, ambapo bado ni siri kwa siku moja au mbili. """
"Bramblehurst railway station, and carrying a little black portmanteau in his thickly gloved hand.","Bramblehurst kituo cha reli, na kufanya portmanteau nyeusi kidogo katika mkono wake thickly gloved."
"I felt dreadfully.","Nilihisi dreadfully."
"You can take a data set and put it there.","Unaweza kuchukua seti ya takwimu na kuiweka hapa."
"Al Gore: This is the last one.","Hii ni ya mwisho."
"[Enters the monument.]","[Inaingia monument.]"
"Military service...","Jeshi huduma..."
"NURSE I am aweary, give me leave awhile;--","Muuguzi Mimi ni aweary, nipe muda kuondoka, -"
"Seldom goes out at other times, except when she sings.","Nadra anakwenda nje mara kwa mara nyingine, ila wakati yeye kuimba."
"Are you crazy?","Je, mambo?"
"PARlS I do defy thy conjurations,","PARIS mimi kumpinga conjurations yako,"
"There won't be any rumors.","Hakutakuwa yoyote fununu."
"That is not necessarily a huge concern for the many people who already use Google services","Kwamba si lazima wasiwasi mkubwa kwa ajili ya watu wengi ambao tayari kutumia Google huduma"
"'I never was so ordered about in all my life, never!'","'Mimi kamwe alikuwa na amri ya juu katika maisha yangu yote, kamwe! '"
"""What do you make of that?"" asked Holmes.","""Ni nini kufanya ya kwamba?"" Aliuliza Holmes."
"To-day is Saturday, and I hope that by Monday we may come to a conclusion.""","Leo ni Jumamosi, na natumaini kwamba kwa Jumatatu tunaweza kuja na hitimisho. """
"""Kemp!","""Kemp!"
"O life!--not life, but love in death!","O maisha - si maisha, lakini upendo katika mauti!"
"Al Gore: There is an old African proverb that says,","Kuna methali ya kale ya Kiafrika isemayo,"
"Tell me how have you been doing?","Niambie jinsi ya kuwa na wewe akifanya?"
"The Street.","Street."
"The improvement of the world must be highly contextualized, and it's not relevant to have it on regional level. We must be much more detailed.","Maendeleo ya ulimwengu ni lazima yawekwe kwa makundi tofauti, na si lazima kuwa nayo katika ngazi ya kanda."
"Be good, okay?","Kuwa mwema, sawa?"
"Lies festering in his shroud; where, as they say, At some hours in the night spirits resort;--","Uongo usaha katika sanda yake, ambapo, kama wasemavyo, Katika baadhi ya masaa katika mji wa mapumziko usiku roho; -"
"Utter your gravity o'er a gossip's bowl, For here we need it not.","Uzito mkubwa wako o'er uvumi wa bakuli, Kwa hapa tunahitaji kuwa si."
"Honey, honey, here.","Honey, asali, hapa."
"I missed you so much.","I missed sana."
"- Yeah, what?","- Yeah, nini?"
"""I'm rare sorry the darg--"" ""Not a bit,"" said the stranger.","""Mimi nadra pole darg -"" ""Si kidogo,"" alisema mgeni."
"No accounting for tastes!","Hakuna uhasibu kwa ladha!"
"There he stood on the dark little landing, wondering what it might be that he had seen. A couple of minutes after, he rejoined the little group that had formed outside the","Kuna alisimama juu ya kutua giza kidogo, wanashangaa nini inaweza kuwa kwamba alikuwa kuonekana. baada ya dakika kadhaa, Yesu alirudi kikundi kidogo kwamba alikuwa na sumu nje"
"Everyone was running back to the village.","Kila mmoja alikuwa akikimbia nyuma ya kijiji."
"For really this morning I've nothing to do.""","Kwa kweli hii asubuhi nimepata kitu cha kufanya. """
"How long will take this tv to be brought to us?","hizi tv zitachukua muda gani mpaka kuletewa?"
"They were a gang, and a rough one, too.","Walikuwa ni wengi, na mtu mmoja mkali, pia."
"Al Gore:","Mwisho mbadala chanya"
"If she does not love your Majesty, there is no reason why she should interfere with your Majesty's plan.""","Kama yeye hana upendo utukufu wako, hakuna sababu kwa nini yeye anapaswa kuingilia kati na mpango wa utukufu wako. """
"NURSE","Muuguzi"
"I am afeard, Being in night, all this is but a dream,","Mimi ni afeard, Kuwa katika usiku, lakini yote hii ni ndoto,"
"EXTRACTS (Supplied by a Sub-Sub-Librarian).","Dondoo (hutolewa na Mkutubi ndogo ndogo)."
"When I was young, there was an amazing publication called The Whole Earth Catalog, which was one of the bibles of my generation.","Nilipokuwa kijana palikuwa na jarida la maajabu liitwalo ""The Whoe Earth Catalog"", ambalo lilikuwa kitabu muhimu mno kwa kizazi changu."
"Of my child's love:","Ya upendo ya mtoto wangu:"
"She had been born ten years ago.","Yeye alikuwa amezaliwa miaka kumi iliyopita."
"Mapple without the utmost interest, because there were certain engrafted clerical peculiarities about him, imputable to that adventurous maritime life he had led.","Mapple bila riba mkubwa, kwa sababu kuna baadhi ya clerical engrafted sura ya kipekee juu yake, imputable kwa maisha kuwa adventurous bahari alikuwa na kuongozwa."
"Five and Seven said nothing, but looked at Two.","Tano na saba alisema kitu, lakini inaonekana saa mbili."
"She could scarcely stand this.","Angeweza kusimama shida hii."
"Well, this was one row, and this is the second row, this is the third row, and this is the fourth row.","Ukiangalia, hili ni zefe la kwanza, hilki ni la pili Hili ni la tatu,na hili ni la nne"
"like a sort of a Scalia version of the Bible?","Kama tafsiri ya Scalia ya Biblia?"
"She knows that the King is capable of having her waylaid and searched.","Yeye anajua ya kwamba mfalme ni uwezo wa Baada ya waylaid yake na searched."
